"","assig.vecU","assig.vecC","assig.vecAr","assig.vecAm","assig.vecT"
"753",18,6,8,12,8
"754",16,16,16,15,3
"755",18,1,8,20,14
"756",7,16,14,17,3
"757",9,6,6,23,3
"758",1,1,17,3,6
"759",18,12,17,21,24
"760",20,20,20,15,4
"761",21,16,16,11,3
"762",2,3,3,22,23
"763",2,24,22,12,13
"764",9,9,9,6,3
"765",2,25,21,8,6
"766",20,22,20,3,16
"767",2,4,4,17,6
"768",18,9,9,17,5
"769",2,13,14,5,3
"770",9,8,20,14,21
"771",2,25,21,21,22
"772",2,10,3,10,3
"773",2,3,4,20,17
"774",1,1,17,22,1
"775",2,20,20,20,11
"776",18,4,8,4,3
"777",7,15,16,23,14
"778",18,6,3,18,24
"779",18,24,20,24,12
"780",2,16,16,7,6
"781",18,8,12,11,1
"782",2,8,8,14,6
"783",2,8,2,22,8
"784",18,10,20,22,5
"785",3,3,3,16,22
"786",2,7,5,7,4
"787",1,1,17,6,8
"788",2,4,6,3,3
"789",3,3,3,20,6
"790",18,17,20,10,13
"791",1,1,14,8,1
"792",18,17,20,20,1
"793",2,15,6,6,3
"794",7,14,14,1,16
"795",18,6,21,11,7
"796",2,9,9,25,9
"797",9,9,11,15,14
"798",2,2,16,14,8
"799",2,21,25,22,3
"800",9,9,9,12,22
"801",2,3,3,21,8
"802",18,24,20,23,15
"803",20,6,14,20,8
"804",18,23,20,6,20
"805",18,18,16,10,24
"806",7,6,21,24,20
"807",20,1,20,1,3
"808",18,21,9,11,10
"809",2,25,16,14,10
"810",10,3,10,14,10
"811",3,3,3,3,13
"812",1,17,1,12,3
"813",9,9,9,23,3
"814",18,14,22,6,8
"815",12,11,17,6,10
"816",18,19,11,8,3
"817",2,21,3,14,20
"818",7,16,21,12,22
"819",2,6,6,11,15
"820",2,7,6,22,16
"821",15,17,17,3,9
"822",2,15,16,14,16
"823",3,3,3,23,15
"824",18,6,3,3,2
"825",7,6,6,22,21
"826",20,20,20,20,15
"827",12,17,1,23,16
"828",3,3,3,20,17
"829",12,12,1,17,16
"830",18,8,3,20,10
"831",2,7,3,10,3
"832",9,9,3,20,3
"833",20,23,14,11,7
"834",25,5,5,20,21
"835",7,6,6,10,14
"836",4,4,16,17,3
"837",2,20,21,20,6
"838",18,16,21,9,6
"839",14,14,14,17,12
"840",2,3,3,3,10
"841",2,6,4,10,14
"842",20,22,24,3,13
"843",7,5,4,8,21
"844",7,24,16,19,16
"845",2,25,21,23,8
"846",18,18,1,24,4
"847",12,12,6,6,21
"848",2,22,14,24,5
"849",2,2,2,20,16
"850",15,13,15,22,13
"851",20,20,20,25,4
"852",2,20,14,4,10
"853",15,17,9,2,1
"854",2,9,16,19,8
"855",2,10,3,1,3
"856",15,14,13,6,17
"857",18,4,6,22,10
"858",2,15,15,11,4
"859",18,9,9,22,22
"860",2,20,3,1,12
"861",2,15,15,20,14
"862",12,8,8,20,4
"863",10,10,22,25,17
"864",2,2,9,3,3
"865",9,9,9,2,9
"866",15,24,9,1,24
"867",7,15,4,20,23
"868",25,16,16,22,9
"869",18,18,2,9,14
"870",18,19,9,16,8
"871",4,6,4,12,8
"872",18,23,14,22,21
"873",18,14,14,6,3
"874",15,19,17,3,5
"875",7,20,23,1,18
"876",7,21,4,16,21
"877",7,13,22,16,1
"878",18,6,16,11,15
"879",2,20,20,9,16
"880",20,20,16,3,17
"881",2,21,6,5,15
"882",4,4,4,23,15
"883",2,14,23,4,14
"884",21,23,14,2,7
"885",9,9,8,11,10
"886",10,10,10,4,10
"887",15,24,20,16,12
"888",15,14,20,4,22
"889",21,16,16,9,8
"890",18,24,11,18,15
"891",4,4,4,1,10
"892",3,10,14,6,13
"893",18,17,11,5,5
"894",7,20,20,6,18
"895",1,1,24,4,24
"896",20,6,4,4,20
"897",3,3,3,10,2
"898",25,25,16,22,10
"899",2,3,3,9,20
"900",9,9,20,18,13
"901",18,14,16,5,16
"902",18,20,20,4,11
"903",16,16,16,23,23
"904",2,6,6,13,14
"905",18,8,7,17,2
"906",18,6,4,17,23
"907",2,2,20,22,9
"908",9,9,9,3,14
"909",7,16,16,6,24
"910",15,20,20,23,4
"911",2,6,3,18,20
"912",12,1,1,23,22
"913",4,4,4,12,14
"914",18,14,14,14,22
"915",2,2,6,6,9
"916",18,21,16,16,25
"917",2,10,22,13,4
"918",2,16,16,22,2
"919",3,10,10,15,3
"920",7,4,4,19,17
"921",18,8,8,3,4
"922",2,25,10,23,6
"923",2,2,2,14,9
"924",2,4,4,16,17
"925",21,21,20,25,18
"926",2,22,14,15,11
"927",18,12,12,20,3
"928",10,3,3,14,1
"929",18,16,16,14,20
"930",18,9,9,23,3
"931",2,8,12,3,22
"932",20,20,20,3,23
"933",7,22,3,13,12
"934",7,3,3,8,8
"935",3,3,21,16,1
"936",9,3,3,22,9
"937",9,11,14,16,20
"938",15,20,23,23,20
"939",9,24,17,25,21
"940",9,14,9,14,4
"941",7,3,3,22,15
"942",25,24,24,6,13
"943",25,13,5,3,8
"944",7,22,22,21,13
"945",17,17,17,11,11
"946",12,12,17,6,23
"947",7,16,14,22,24
"948",2,3,3,21,10
"949",21,14,23,24,4
"950",2,12,9,14,5
"951",2,7,6,20,16
"952",2,22,3,24,14
"953",2,14,7,17,24
"954",3,3,3,6,22
"955",9,8,14,12,14
"956",2,2,2,11,8
"957",2,9,20,25,19
"958",18,3,6,1,15
"959",4,4,4,3,4
"960",20,20,20,6,25
"961",2,3,3,5,23
"962",2,22,22,3,16
"963",2,2,21,3,16
"964",9,9,21,6,17
"965",2,5,4,18,3
"966",9,15,9,8,21
"967",18,20,20,4,6
